,K,percentDMSO,Vol,km,vmax,loss,r_squared
0,1.0,5.0,20.0,2.6753687858581543,0.04700305312871933,0.012980472296476364,0.3281027188559146
1,1.0,5.0,20.0,2.2276077270507812,0.027246249839663506,0.0075283413752913475,0.517798510726365
2,1.0,5.0,20.0,2.581204891204834,0.045789118856191635,0.01598076894879341,0.3680319137677702
3,2.636363636363636,3.1818181818181817,20.0,2.4751946926116943,0.03194452449679375,0.0057813869789242744,0.6919831388435949
4,2.636363636363636,3.1818181818181817,20.0,2.1093909740448,0.03975440934300423,0.0033954291138798,0.8853252694870322
5,2.636363636363636,3.1818181818181817,20.0,2.0368525981903076,0.03332606330513954,0.007021917030215263,0.6768651923478557
6,4.0,1.0,20.0,0.977021336555481,0.058727819472551346,0.0018129246309399605,0.9907238964426326
7,4.0,1.0,20.0,2.2570347785949707,0.06120387837290764,0.007720396853983402,0.8168033439655963
8,4.0,1.0,20.0,0.48491594195365906,0.04870030656456947,0.001620314666070044,0.9866955556835368
9,4.0,1.0,20.0,2.5471408367156982,0.052887141704559326,0.003676676657050848,0.9359796936761772
10,4.0,1.0,20.0,1.8650100231170654,0.05786798149347305,0.009088067337870598,0.4710612213630109
11,4.0,1.0,20.0,0.12503713369369507,0.04828118532896042,0.006071493029594421,0.7685131131219264
12,1.5454545454545454,1.0,20.0,2.483996868133545,0.03623403236269951,0.012994132936000824,0.31207021221807496
13,1.5454545454545454,1.0,20.0,2.713911533355713,0.0508430153131485,0.015149855054914951,0.25210433122090725
14,1.5454545454545454,1.0,20.0,2.740431785583496,0.0544300377368927,0.015246379189193249,0.31584028395396635
15,1.0,5.0,20.0,1.932249665260315,0.010228809900581837,0.012775091454386711,-0.07705154307926532
16,1.0,5.0,20.0,2.18027400970459,0.022834043949842453,0.009379695169627666,0.2842497392277419
17,1.0,5.0,20.0,1.984917402267456,0.016148287802934647,0.010116111487150192,0.16564917013188418
18,2.636363636363636,3.1818181818181817,20.0,-1.5697665214538574,0.04939219728112221,0.004332349635660648,0.9982897990422733
19,2.636363636363636,3.1818181818181817,20.0,-0.6838425397872925,0.04963724687695503,0.0315660797059536,0.16038116070424235
20,2.636363636363636,3.1818181818181817,20.0,-0.30091047286987305,0.05167375132441521,0.026682211086153984,0.07961213790618793
21,2.636363636363636,5.0,29.0,2.8247263431549072,0.048840153962373734,0.0031335363164544106,0.8851498934998896
22,2.636363636363636,5.0,29.0,2.7791519165039062,0.05037511885166168,0.011770831421017647,0.3356229653459156
23,2.636363636363636,5.0,29.0,2.3529181480407715,0.04763388633728027,0.009516243822872639,0.3144541774735592
24,2.636363636363636,5.0,29.0,3.372817039489746,0.07497072964906693,0.007911179214715958,0.8377004103534837
25,2.636363636363636,5.0,29.0,3.0934183597564697,0.07390785962343216,0.01099710538983345,0.7653271242555642
26,2.636363636363636,5.0,29.0,3.08971905708313,0.07356692105531693,0.009030116721987724,0.7451266902851306
27,1.0,2.8181818181818183,29.0,2.7599802017211914,0.05346265807747841,0.018397822976112366,0.1170351896533397
28,1.0,2.8181818181818183,29.0,2.895808696746826,0.06617125123739243,0.020328085869550705,-0.08515230216485992
29,1.0,2.8181818181818183,29.0,3.016500949859619,0.06680107116699219,0.02077360823750496,-0.1284630107612934
30,1.0,2.8181818181818183,29.0,2.403531789779663,0.07744672894477844,0.0020353388972580433,0.9721829999871928
31,1.0,2.8181818181818183,29.0,2.438965320587158,0.07901140302419662,0.0013502640649676323,0.9887321901678123
32,1.0,2.8181818181818183,29.0,2.4418954849243164,0.07878006249666214,0.0028886068612337112,0.9670369670999424
33,1.0,5.0,40.0,2.9113876819610596,0.07168877869844437,0.009754328057169914,0.38253181847770557
34,1.0,5.0,40.0,3.082598924636841,0.0696120485663414,0.010115343146026134,0.39238529903177444
35,1.0,5.0,40.0,3.0946290493011475,0.06979739665985107,0.011310921050608158,0.333080257694665
36,1.0,1.0,40.0,1.4680505990982056,0.11558018624782562,0.004582858644425869,0.9772099150672153
