User: USER,Path: C:\Program Files (x86)\BMG\PHERAstar\User\Data\,Test run no.: 324
Test name: PathLength,Date: 17/12/2019,Time: 14:49:42
ID1: 20191217_pathlength_2,
Absorbance

Well Row,Well Col,Content,Raw Data (900 1),Raw Data (975 2),
A,1,Sample X3,0.030,0.061,
B,1,Sample X27,0.025,0.056,
C,1,Sample X51,0.031,0.061,
D,1,Sample X75,0.027,0.057,
E,1,Sample X99,0.047,0.078,
F,1,Sample X123,0.072,0.101,
G,1,Sample X147,0.081,0.109,
H,1,Sample X171,0.089,0.115,
I,1,Sample X195,0.077,0.105,
J,1,Sample X219,0.066,0.093,
K,1,Sample X243,0.035,0.061,
L,1,Sample X267,0.042,0.067,
M,1,Sample X291,0.024,0.054,
N,1,Sample X315,0.025,0.056,
O,1,Sample X339,0.025,0.056,
P,1,Sample X363,0.026,0.055,
A,2,Sample X4,0.058,0.089,
B,2,Sample X28,0.049,0.078,
C,2,Sample X52,0.024,0.055,
D,2,Sample X76,0.026,0.056,
E,2,Sample X100,0.024,0.057,
F,2,Sample X124,0.027,0.057,
G,2,Sample X148,0.035,0.064,
H,2,Sample X172,0.024,0.051,
I,2,Sample X196,0.024,0.054,
J,2,Sample X220,0.031,0.061,
K,2,Sample X244,0.024,0.055,
L,2,Sample X268,0.023,0.053,
M,2,Sample X292,0.025,0.056,
N,2,Sample X316,0.025,0.055,
O,2,Sample X340,0.023,0.054,
P,2,Sample X364,0.023,0.053,
A,3,Sample X5,0.030,0.061,
B,3,Sample X29,0.024,0.054,
C,3,Sample X53,0.028,0.060,
D,3,Sample X77,0.031,0.060,
E,3,Sample X101,0.025,0.058,
F,3,Sample X125,0.025,0.057,
G,3,Sample X149,0.025,0.053,
H,3,Sample X173,0.025,0.053,
I,3,Sample X197,0.025,0.054,
J,3,Sample X221,0.025,0.054,
K,3,Sample X245,0.026,0.053,
L,3,Sample X269,0.024,0.050,
M,3,Sample X293,0.026,0.057,
N,3,Sample X317,0.027,0.056,
