User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 26
Test name: PathLength,Date: 19/12/2019,Time: 17:06:15

ID1: 20191219_clariostar_10uMPathlength,
Absorbance

Well,Content,Raw Data (975 2),
D23,Sample X95,0.173,
A18,Sample X18,0.167,
I17,Sample X209,0.163,
J17,Sample X233,0.159,
L17,Sample X281,0.156,
J05,Sample X221,0.155,
K17,Sample X257,0.155,
M22,Sample X310,0.155,
B09,Sample X33,0.151,
E24,Sample X120,0.15,
L13,Sample X277,0.149,
M13,Sample X301,0.148,
K13,Sample X253,0.147,
O13,Sample X349,0.147,
N13,Sample X325,0.146,
I13,Sample X205,0.145,
I22,Sample X214,0.145,
J13,Sample X229,0.145,
G13,Sample X157,0.144,
A19,Sample X19,0.142,
A21,Sample X21,0.142,
M17,Sample X305,0.142,
H13,Sample X181,0.141,
N17,Sample X329,0.138,
F13,Sample X133,0.127,
F24,Sample X144,0.127,
K19,Sample X259,0.127,
P17,Sample X377,0.126,
P18,Sample X378,0.124,
C17,Sample X65,0.122,
D17,Sample X89,0.122,
E05,Sample X101,0.122,
H17,Sample X185,0.122,
J11,Sample X227,0.122,
L20,Sample X284,0.122,
P20,Sample X380,0.122,
P24,Sample X384,0.122,
C21,Sample X69,0.121,
G05,Sample X149,0.121,
L19,Sample X283,0.121,
C23,Sample X71,0.12,
J18,Sample X234,0.12,
M24,Sample X312,0.119,
O22,Sample X358,0.119,
A24,Sample X24,0.118,
B17,Sample X41,0.118,
D24,Sample X96,0.118,
H05,Sample X173,0.118,
H22,Sample X190,0.118,
I19,Sample X211,0.118,
J21,Sample X237,0.118,
M20,Sample X308,0.118,
N18,Sample X330,0.118,
O20,Sample X356,0.118,
P23,Sample X383,0.118,
A20,Sample X20,0.117,
A22,Sample X22,0.117,
B19,Sample X43,0.117,
B22,Sample X46,0.117,
B24,Sample X48,0.117,
E20,Sample X116,0.117,
F06,Sample X126,0.117,
H11,Sample X179,0.117,
H18,Sample X186,0.117,
I20,Sample X212,0.117,
I21,Sample X213,0.117,
J20,Sample X236,0.117,
J22,Sample X238,0.117,
J24,Sample X240,0.117,
K20,Sample X260,0.117,
K23,Sample X263,0.117,
K24,Sample X264,0.117,
O17,Sample X353,0.117,
O24,Sample X360,0.117,
P22,Sample X382,0.117,
A23,Sample X23,0.116,
D18,Sample X90,0.116,
D20,Sample X92,0.116,
E18,Sample X114,0.116,
F18,Sample X138,0.116,
F20,Sample X140,0.116,
G18,Sample X162,0.116,
H20,Sample X188,0.116,
H24,Sample X192,0.116,
I18,Sample X210,0.116,
K18,Sample X258,0.116,
L24,Sample X288,0.116,
N20,Sample X332,0.116,
O18,Sample X354,0.116,
E22,Sample X118,0.115,
G20,Sample X164,0.115,
G22,Sample X166,0.115,
G24,Sample X168,0.115,
H19,Sample X187,0.115,
I23,Sample X215,0.115,
J19,Sample X235,0.115,
L18,Sample X282,0.115,
M18,Sample X306,0.115,
N24,Sample X336,0.115,
B18,Sample X42,0.114,
B21,Sample X45,0.114,
C22,Sample X70,0.114,
F19,Sample X139,0.114,
I24,Sample X216,0.114,
K21,Sample X261,0.114,
L21,Sample X285,0.114,
L22,Sample X286,0.114,
M21,Sample X309,0.114,
A17,Sample X17,0.113,
C20,Sample X68,0.113,
C24,Sample X72,0.113,
F23,Sample X143,0.113,
J23,Sample X239,0.113,
K22,Sample X262,0.113,
L23,Sample X287,0.113,
M14,Sample X302,0.113,
M19,Sample X307,0.113,
B20,Sample X44,0.112,
C18,Sample X66,0.112,
D19,Sample X91,0.112,
D22,Sample X94,0.112,
F22,Sample X142,0.112,
G17,Sample X161,0.112,
H21,Sample X189,0.112,
N19,Sample X331,0.112,
O21,Sample X357,0.112,
B23,Sample X47,0.111,
E19,Sample X115,0.111,
N22,Sample X334,0.111,
P19,Sample X379,0.111,
D15,Sample X87,0.11,
E17,Sample X113,0.11,
E21,Sample X117,0.11,
F01,Sample X121,0.11,
F05,Sample X125,0.11,
F21,Sample X141,0.11,
G19,Sample X163,0.11,
J09,Sample X225,0.11,
L05,Sample X269,0.11,
O19,Sample X355,0.11,
P21,Sample X381,0.11,
D21,Sample X93,0.109,
G21,Sample X165,0.109,
H23,Sample X191,0.109,
N23,Sample X335,0.109,
C19,Sample X67,0.108,
F17,Sample X137,0.108,
G23,Sample X167,0.108,
I05,Sample X197,0.108,
N21,Sample X333,0.108,
O23,Sample X359,0.108,
E13,Sample X109,0.107,
E23,Sample X119,0.107,
I01,Sample X193,0.107,
M10,Sample X298,0.107,
M23,Sample X311,0.107,
A14,Sample X14,0.106,
D13,Sample X85,0.106,
A13,Sample X13,0.105,
K05,Sample X245,0.105,
I09,Sample X201,0.104,
L15,Sample X279,0.104,
N09,Sample X321,0.104,
N16,Sample X328,0.104,
A15,Sample X15,0.103,
B13,Sample X37,0.103,
B15,Sample X39,0.103,
C13,Sample X61,0.103,
I15,Sample X207,0.103,
N14,Sample X326,0.102,
D11,Sample X83,0.101,
L12,Sample X276,0.101,
P16,Sample X376,0.101,
B11,Sample X35,0.1,
C09,Sample X57,0.1,
I11,Sample X203,0.1,
J15,Sample X231,0.1,
K15,Sample X255,0.1,
L09,Sample X273,0.1,
O12,Sample X348,0.1,
D09,Sample X81,0.099,
H08,Sample X176,0.099,
L11,Sample X275,0.099,
M12,Sample X300,0.099,
M16,Sample X304,0.099,
N11,Sample X323,0.099,
O10,Sample X346,0.099,
O15,Sample X351,0.099,
A16,Sample X16,0.098,
C15,Sample X63,0.098,
D10,Sample X82,0.098,
F14,Sample X134,0.098,
F15,Sample X135,0.098,
F16,Sample X136,0.098,
H14,Sample X182,0.098,
K09,Sample X249,0.098,
O16,Sample X352,0.098,
P14,Sample X374,0.098,
A10,Sample X10,0.097,
A11,Sample X11,0.097,
C14,Sample X62,0.097,
G10,Sample X154,0.097,
H10,Sample X178,0.097,
H15,Sample X183,0.097,
I10,Sample X202,0.097,
I12,Sample X204,0.097,
I14,Sample X206,0.097,
K10,Sample X250,0.097,
K14,Sample X254,0.097,
K16,Sample X256,0.097,
L16,Sample X280,0.097,
N08,Sample X320,0.097,
N10,Sample X322,0.097,
P12,Sample X372,0.097,
P15,Sample X375,0.097,
C11,Sample X59,0.096,
E10,Sample X106,0.096,
E15,Sample X111,0.096,
E16,Sample X112,0.096,
F09,Sample X129,0.096,
J14,Sample X230,0.096,
K12,Sample X252,0.096,
N12,Sample X324,0.096,
O14,Sample X350,0.096,
P10,Sample X370,0.096,
C16,Sample X64,0.095,
G12,Sample X156,0.095,
G15,Sample X159,0.095,
H09,Sample X177,0.095,
H16,Sample X184,0.095,
M11,Sample X299,0.095,
N15,Sample X327,0.095,
P08,Sample X368,0.095,
C10,Sample X58,0.094,
D12,Sample X84,0.094,
D14,Sample X86,0.094,
E11,Sample X107,0.094,
E14,Sample X110,0.094,
G09,Sample X153,0.094,
G14,Sample X158,0.094,
G16,Sample X160,0.094,
J10,Sample X226,0.094,
J12,Sample X228,0.094,
M09,Sample X297,0.094,
M15,Sample X303,0.094,
P11,Sample X371,0.094,
P13,Sample X373,0.094,
A12,Sample X12,0.093,
B01,Sample X25,0.093,
E09,Sample X105,0.093,
H12,Sample X180,0.093,
I16,Sample X208,0.093,
K11,Sample X251,0.093,
L10,Sample X274,0.093,
O09,Sample X345,0.093,
P09,Sample X369,0.093,
A09,Sample X9,0.092,
B10,Sample X34,0.092,
B16,Sample X40,0.092,
D16,Sample X88,0.092,
E12,Sample X108,0.092,
G11,Sample X155,0.092,
J16,Sample X232,0.092,
L07,Sample X271,0.092,
L14,Sample X278,0.092,
B12,Sample X36,0.091,
B14,Sample X38,0.091,
C03,Sample X51,0.091,
O11,Sample X347,0.091,
F10,Sample X130,0.09,
F11,Sample X131,0.09,
F12,Sample X132,0.09,
C12,Sample X60,0.089,
K07,Sample X247,0.089,
O08,Sample X344,0.089,
C07,Sample X55,0.088,
K01,Sample X241,0.088,
M03,Sample X291,0.088,
C01,Sample X49,0.087,
D01,Sample X73,0.087,
J03,Sample X219,0.087,
J07,Sample X223,0.087,
L01,Sample X265,0.087,
M05,Sample X293,0.087,
C05,Sample X53,0.086,
J01,Sample X217,0.086,
K03,Sample X243,0.086,
L03,Sample X267,0.086,
N05,Sample X317,0.086,
A03,Sample X3,0.085,
D03,Sample X75,0.085,
D07,Sample X79,0.085,
A05,Sample X5,0.084,
B03,Sample X27,0.084,
D05,Sample X77,0.084,
F03,Sample X123,0.084,
I07,Sample X199,0.084,
M07,Sample X295,0.084,
N03,Sample X315,0.084,
N07,Sample X319,0.084,
P03,Sample X363,0.084,
A01,Sample X1,0.083,
H03,Sample X171,0.083,
M04,Sample X292,0.083,
N06,Sample X318,0.083,
O01,Sample X337,0.083,
G08,Sample X152,0.082,
O06,Sample X342,0.082,
P01,Sample X361,0.082,
P05,Sample X365,0.082,
A07,Sample X7,0.081,
C02,Sample X50,0.081,
G01,Sample X145,0.081,
G06,Sample X150,0.081,
I03,Sample X195,0.081,
M01,Sample X289,0.081,
O03,Sample X339,0.081,
B07,Sample X31,0.08,
I08,Sample X200,0.08,
L04,Sample X268,0.08,
L08,Sample X272,0.08,
N01,Sample X313,0.08,
P07,Sample X367,0.08,
E01,Sample X97,0.079,
M06,Sample X294,0.079,
A02,Sample X2,0.078,
B05,Sample X29,0.078,
B06,Sample X30,0.078,
F02,Sample X122,0.078,
F08,Sample X128,0.078,
G07,Sample X151,0.078,
H01,Sample X169,0.078,
H06,Sample X174,0.078,
O02,Sample X338,0.078,
O05,Sample X341,0.078,
A04,Sample X4,0.077,
E03,Sample X99,0.077,
G02,Sample X146,0.077,
K04,Sample X244,0.077,
M08,Sample X296,0.077,
O07,Sample X343,0.077,
B02,Sample X26,0.076,
E07,Sample X103,0.076,
E08,Sample X104,0.076,
F07,Sample X127,0.076,
G03,Sample X147,0.076,
H07,Sample X175,0.076,
L06,Sample X270,0.076,
O04,Sample X340,0.076,
P02,Sample X362,0.076,
P04,Sample X364,0.076,
P06,Sample X366,0.076,
A08,Sample X8,0.075,
C04,Sample X52,0.075,
D04,Sample X76,0.075,
D06,Sample X78,0.075,
I04,Sample X196,0.075,
J04,Sample X220,0.075,
J06,Sample X222,0.075,
N02,Sample X314,0.075,
N04,Sample X316,0.075,
B08,Sample X32,0.074,
D08,Sample X80,0.074,
E02,Sample X98,0.074,
E04,Sample X100,0.074,
F04,Sample X124,0.074,
G04,Sample X148,0.074,
H04,Sample X172,0.074,
J08,Sample X224,0.074,
K06,Sample X246,0.074,
A06,Sample X6,0.073,
C08,Sample X56,0.073,
D02,Sample X74,0.073,
I06,Sample X198,0.073,
K08,Sample X248,0.073,
B04,Sample X28,0.072,
K02,Sample X242,0.072,
E06,Sample X102,0.071,
I02,Sample X194,0.071,
L02,Sample X266,0.071,
M02,Sample X290,0.071,
C06,Sample X54,0.07,
J02,Sample X218,0.07,
H02,Sample X170,0.069,
